"","Town","County","popTotal","medianAge","popNative_bornUSA","popNative","popNaitve_bornNH","popMoved_otherState","popMoved_abroad","popCommute_car","popCommute_publicT","popCommute_bicycle","popCommute_foot","popCommute_other","popCommute_home","popBA","popPov","medianIncome","incomeLabor","incomeLabor_WageSalary","incomeLabor_SelfEmpl","incomeInvest","incomeTotal","LF","LF_Civilian","LF_Civilian_Unemployed","LF_Not","housingTotal","housingVacant_rent","housingVacant_seasonal","medianHomeValue","medianGrossRent","unemplRate","LFparticipationRate","housingVacant_seasonal_percent","housingVacant_rent_percent","incomeNonLabor","incomeTransferPayment","incomeNonLabor_percent","incomeInvest_percent","incomeTransferPayment_percent","incomeLabor_percent","popPov_percent","popBA_percent","popMoved_otherState_percent","popMoved_abroad_percent","popMoved_percent","popCommute_car_percent","popCommute_publicT_percent","popCommute_bicycle_percent","popCommute_foot_percent","popCommute_other_percent","popCommute_home_percent","Year","benchM"
"13","Freedom"," Carroll",1077,59.5,1053,1062,285,29,0,451,0,0,21,3,33,291,78,47375,18711300,15618600,3092600,7433900,35042100,553,553,21,426,1734,11,1055,282700,723,3.79746835443038,56.4862104187947,60.8419838523645,0.63437139561707,16330800,8896900,46.603371373291,21.2141966377586,25.3891747355324,53.396628626709,7.24233983286908,27.0194986072423,2.69266480965645,0,2.69266480965645,41.8755803156917,0,0,1.94986072423398,0.278551532033426,3.06406685236769,2011,NA
"14","Gilford"," Belknap",7157,49.3,6835,6894,3028,172,50,3207,15,0,25,13,185,2137,643,63736,197729500,166969200,30760300,26527000,271529500,3779,3758,150,2084,4888,4,1830,277000,834,3.99148483235764,64.455057137984,37.4386252045827,0.0818330605564648,73800000,47273000,27.1793672510722,9.76947256191316,17.409894689159,72.8206327489278,8.98421126170183,29.8588794187509,2.4032415816683,0.698616738857063,3.10185832052536,44.809277630292,0.209585021657119,0,0.349308369428531,0.181640352102836,2.58488193377113,2011,NA
"15","Gilmanton"," Belknap",3739,39.6,3582,3604,1975,46,0,1603,0,0,53,8,68,618,293,63947,92643200,87119000,5524100,3240200,107230400,1956,1956,131,855,2031,19,613,250500,929,6.69734151329243,69.5837780149413,30.1821762678483,0.935499753815854,14587200,11347000,13.6036049478506,3.02171772184008,10.5818872260105,86.3963950521494,7.83631987162343,16.5284835517518,1.23027547472586,0,1.23027547472586,42.8724257822947,0,0,1.41749130783632,0.213960952126237,1.81866809307301,2011,NA
"16","Hebron"," Grafton",541,58,481,487,145,18,42,173,0,0,7,16,86,184,97,59226,9157400,6118000,3039400,1127100,15542400,305,305,18,187,590,0,346,316700,810,5.9016393442623,61.9918699186992,58.6440677966102,0,6385000,5257900,41.0811715050443,7.25177578752316,33.8293957175211,58.9188284949557,17.9297597042514,34.0110905730129,3.3271719038817,7.7634011090573,11.090573012939,31.9778188539741,0,0,1.29390018484288,2.95748613678373,15.8964879852126,2011,NA
"17","Hill"," Merrimack",1270,41.7,1261,1266,650,13,0,526,0,0,5,30,42,144,117,56979,26682600,24831600,1850100,1604200,32290400,645,645,32,307,506,0,41,180200,983,4.96124031007752,67.7521008403361,8.10276679841897,0,5607800,4003600,17.3667715482001,4.96804003666724,12.3987315115328,82.6332284517999,9.21259842519685,11.3385826771654,1.02362204724409,0,1.02362204724409,41.4173228346457,0,0,0.393700787401575,2.36220472440945,3.30708661417323,2011,NA
"18","Holderness"," Grafton",1667,47.6,1629,1639,666,129,9,813,0,6,78,4,24,617,87,53125,42047000,35190700,6856300,2396300,51432500,956,956,31,475,1623,15,857,296400,857,3.24267782426778,66.80642907058,52.8034504004929,0.924214417744917,9385500,6989200,18.2481893744228,4.65911631750352,13.5890730569193,81.7518106255772,5.21895620875825,37.0125974805039,7.73845230953809,0.539892021595681,8.27834433113377,48.7702459508098,0,0.359928014397121,4.67906418716257,0.23995200959808,1.43971205758848,2011,NA
"19","Laconia"," Belknap",16119,43.7,15377,15559,9059,370,60,7331,22,0,248,102,212,2640,1817,48517,334957500,294321000,40633200,26487300,446668400,8720,8720,757,4570,9679,306,2130,199000,823,8.68119266055046,65.6132430398796,22.0064056204153,3.16148362434136,111710900,85223600,25.0098059320964,5.92996952549139,19.079836406605,74.9901940679036,11.2724114399156,16.3781872324586,2.29542775606427,0.372231528010422,2.66765928407469,45.4804888640735,0.136484893603822,0,1.53855698244308,0.632793597617718,1.31521806563683,2011,NA
"20","Meredith"," Belknap",6256,46.1,6084,6110,3118,84,0,2716,21,9,48,17,197,1538,620,56172,159181800,141001700,18169700,26339800,219989900,3271,3271,192,2072,4918,0,1906,284900,912,5.86976459798227,61.2202882275875,38.7555917039447,0,60808100,34468300,27.641314442163,11.9731860417228,15.6681284004402,72.358685557837,9.91048593350384,24.5843989769821,1.34271099744246,0,1.34271099744246,43.4143222506394,0.335677749360614,0.14386189258312,0.767263427109974,0.271739130434783,3.14897698209719,2011,NA
"21","Moultonborough"," Carroll",4131,55.4,4071,4084,1121,56,0,1624,9,28,14,10,198,1504,274,71550,125433400,102285300,23148100,24486900,184990300,2031,2031,58,1558,4919,10,3019,360800,1240,2.85573609059577,56.5895792699916,61.3742630615979,0.20329335230738,59556900,35070000,32.1946069604731,13.2368562027306,18.9577507577424,67.8053930395269,6.63277656741709,36.4076494795449,1.35560396998306,0,1.35560396998306,39.3125151295086,0.217864923747277,0.677801984991528,0.338900992495764,0.242072137496974,4.79302832244009,2011,NA
"22","New Hampton"," Belknap",2287,44.1,2227,2241,1280,15,16,1118,0,0,70,5,38,494,241,60444,44396100,40094400,4301700,1383600,55517200,1315,1315,71,548,1220,0,287,236200,974,5.39923954372624,70.5850778314546,23.5245901639344,0,11121100,9737500,20.0318099615975,2.49220061530481,17.5396093462927,79.9681900384025,10.5378224748579,21.6003498032357,0.655881066899869,0.69960647135986,1.35548753825973,48.8850021862702,0,0,3.06077831219939,0.218627022299956,1.66156536947967,2011,NA
"23","Northfield"," Merrimack",4850,38.4,4680,4689,2761,34,0,2277,9,0,11,41,91,601,823,58368,91751600,85533100,6218500,2492300,111482200,2589,2589,144,1104,1919,41,63,193400,1175,5.56199304750869,70.1056051990252,3.28295987493486,2.13652944241793,19730600,17238300,17.698430780878,2.23560353132608,15.4628272495519,82.301569219122,16.9690721649485,12.3917525773196,0.701030927835051,0,0.701030927835051,46.9484536082474,0.185567010309278,0,0.22680412371134,0.845360824742268,1.87628865979381,2011,NA
"24","Ossipee"," Carroll",4362,43,4280,4329,1671,94,0,1700,2,0,0,0,50,480,749,43493,60840700,55891900,4948800,4327100,84681000,2045,2045,204,1416,3080,58,1051,181800,963,9.97555012224939,59.0869690840797,34.1233766233766,1.88311688311688,23840300,19513200,28.153068575005,5.10988297256764,23.0431856024374,71.846931424995,17.1710224667584,11.0041265474553,2.15497478221,0,2.15497478221,38.9729481889042,0.0458505272810637,0,0,0,1.14626318202659,2011,NA
"25","Sanbornton"," Belknap",2939,46.1,2794,2851,1319,51,11,1421,0,0,16,9,88,732,34,61542,70436000,64713200,5722800,3835800,87930800,1677,1677,37,723,1647,0,444,248300,1315,2.20632081097197,69.875,26.9581056466302,0,17494800,13659000,19.8961001150905,4.36229398572514,15.5338061293654,80.1038998849095,1.15685607349439,24.9064307587615,1.73528411024158,0.374276964954066,2.10956107519564,48.3497788363389,0,0,0.544402858115005,0.30622660768969,2.99421571963253,2011,NA
"26","Sandwich"," Carroll",1402,50.9,1358,1371,556,32,11,572,4,0,11,8,77,572,84,53750,28728400,21467000,7261400,6344600,45327600,729,729,29,452,1037,8,305,300900,1005,3.97805212620027,61.727349703641,29.4117647058824,0.77145612343298,16599200,10254600,36.6205137708593,13.9972114120315,22.6233023588277,63.3794862291407,5.99144079885877,40.7988587731812,2.28245363766049,0.784593437945792,3.06704707560628,40.7988587731812,0.285306704707561,0,0.784593437945792,0.570613409415121,5.49215406562054,2011,NA
"27","Tamworth"," Carroll",2847,46.6,2768,2824,1177,85,5,1264,0,31,54,0,113,477,485,48542,72805000,62487300,10317700,2930100,87239600,1604,1604,63,823,1977,20,557,194000,590,3.92768079800499,66.0898228265348,28.1740010116338,1.01163378856854,14434600,11504500,16.545926391226,3.35868114938629,13.1872452418397,83.454073608774,17.0354759395855,16.754478398314,2.98559887600983,0.175623463294696,3.16122233930453,44.3976115208992,0,1.08886547242712,1.89673340358272,0,3.96909027046013,2011,NA
"28","Tilton"," Belknap",3581,46.8,3474,3474,2020,133,19,1626,0,0,110,24,67,691,326,53590,72198900,67383200,4815700,4734700,89146100,1976,1976,61,1111,1822,0,304,188800,766,3.08704453441296,64.0103660511824,16.6849615806806,0,16947200,12212500,19.010590480122,5.31116896869297,13.699421511429,80.989409519878,9.10360234571349,19.2962859536442,3.71404635576655,0.530578050823792,4.24462440659034,45.4063110862887,0,0,3.07176766266406,0.670203853672159,1.87098575816811,2011,NA
