"","Town","County","popTotal","medianAge","popNative_bornUSA","popNative","popNaitve_bornNH","popMoved_otherState","popMoved_abroad","popCommute_car","popCommute_publicT","popCommute_bicycle","popCommute_foot","popCommute_other","popCommute_home","popBA","popPov","medianIncome","incomeLabor","incomeLabor_WageSalary","incomeLabor_SelfEmpl","incomeInvest","incomeTotal","LF","LF_Civilian","LF_Civilian_Unemployed","LF_Not","housingTotal","housingVacant_rent","housingVacant_seasonal","medianHomeValue","medianGrossRent","unemplRate","LFparticipationRate","housingVacant_seasonal_percent","housingVacant_rent_percent","incomeNonLabor","incomeTransferPayment","incomeNonLabor_percent","incomeInvest_percent","incomeTransferPayment_percent","incomeLabor_percent","popPov_percent","popBA_percent","popMoved_otherState_percent","popMoved_abroad_percent","popMoved_percent","popCommute_car_percent","popCommute_publicT_percent","popCommute_bicycle_percent","popCommute_foot_percent","popCommute_other_percent","popCommute_home_percent","Year","benchM"
"39","Bridgewater"," Grafton",987,57.6,966,976,425,31,0,383,0,0,0,0,44,271,45,53958,21898000,19791000,2106900,3500600,35641500,459,459,21,442,1033,0,529,253200,1027,4.57516339869281,50.9433962264151,51.2100677637948,0,13743500,10242900,38.5603860668041,9.82169661770689,28.7386894490973,61.4396139331959,4.55927051671733,27.4569402228977,3.14083080040527,0,3.14083080040527,38.8044579533941,0,0,0,0,4.45795339412361,2016,NA
"40","Bristol"," Grafton",3050,41.4,3003,3026,1611,84,9,1381,0,0,96,6,48,484,323,54015,54045100,51913800,2131300,1637600,78421600,1618,1610,40,875,2333,0,1017,205600,824,2.48447204968944,64.9017248295227,43.591941705958,0,24376500,22738900,31.0839105552552,2.08820018974364,28.9957103655115,68.9160894447448,10.5901639344262,15.8688524590164,2.75409836065574,0.295081967213115,3.04918032786885,45.2786885245902,0,0,3.14754098360656,0.19672131147541,1.57377049180328,2016,NA
"41","Center Harbor"," Belknap",1011,51.5,989,989,384,43,0,524,0,0,4,3,49,374,79,70625,27997300,23983000,4014200,3821900,41100900,611,611,31,313,785,0,331,334000,1083,5.07364975450082,66.1255411255411,42.1656050955414,0,13103600,9281700,31.8815403069033,9.29882314012588,22.5827171667774,68.1184596930967,7.81404549950544,36.9930761622156,4.25321463897132,0,4.25321463897132,51.8298714144411,0,0,0.39564787339268,0.29673590504451,4.84668644906034,2016,NA
"42","Danbury"," Merrimack",1294,44.6,1268,1279,659,6,0,696,11,0,0,3,43,209,32,61058,31278900,26628900,4650000,645300,37414900,794,794,28,267,735,0,115,165900,941,3.5264483627204,74.8350612629595,15.6462585034014,0,6136000,5490700,16.3998834688854,1.72471395085915,14.6751695180262,83.6001165311146,2.47295208655332,16.1514683153014,0.463678516228748,0,0.463678516228748,53.7867078825348,0.850077279752705,0,0,0.231839258114374,3.32302936630603,2016,NA
"43","Effingham"," Carroll",1352,49.5,1325,1331,562,48,0,535,5,0,11,8,35,194,193,45375,24815300,20914400,3900900,3013500,35739500,662,662,68,493,963,0,259,175300,811,10.2719033232628,57.3160173160173,26.8951194184839,0,10924200,7910700,30.5661802767246,8.43184711593615,22.1343331607885,69.4338197232754,14.2751479289941,14.3491124260355,3.55029585798817,0,3.55029585798817,39.5710059171598,0.369822485207101,0,0.813609467455621,0.591715976331361,2.5887573964497,2016,NA
"44","Franklin"," Merrimack",8440,42.3,8284,8342,5278,205,19,3432,0,0,84,184,175,994,1515,44490,151138800,144176900,6961900,3140800,198565600,4228,4228,300,2681,4118,208,120,160100,787,7.09555345316935,61.1955420466059,2.91403593977659,5.05099562894609,47426800,44286000,23.8847010761179,1.58174426990375,22.3029568062142,76.1152989238821,17.9502369668246,11.7772511848341,2.42890995260664,0.225118483412322,2.65402843601896,40.6635071090047,0,0,0.995260663507109,2.18009478672986,2.07345971563981,2016,NA
"45","Freedom"," Carroll",1324,54.4,1266,1278,465,8,3,511,7,0,9,0,33,304,180,54875,25404600,21137600,4267000,2628400,40107300,623,623,51,511,1823,0,1240,256000,1182,8.18619582664527,54.9382716049383,68.019747668678,0,14702700,12074300,36.6584138049682,6.55342044964383,30.1049933553243,63.3415861950318,13.595166163142,22.9607250755287,0.604229607250755,0.226586102719033,0.830815709969788,38.595166163142,0.528700906344411,0,0.6797583081571,0,2.49244712990937,2016,NA
"46","Gilford"," Belknap",7103,50.7,6744,6754,2807,146,0,3454,0,0,34,63,138,2083,547,63125,226015400,207644000,18371400,21496400,299309200,3812,3812,76,2245,5155,0,1631,240600,1018,1.99370409233998,62.9354465907215,31.639185257032,0,73293800,51797400,24.4876535702878,7.18200442886487,17.305649141423,75.5123464297122,7.70097142052654,29.3256370547656,2.05546951992116,0,2.05546951992116,48.6273405603266,0,0,0.478670984091229,0.886949176404336,1.94284105307617,2016,NA
"47","Gilmanton"," Belknap",3744,46,3602,3602,2005,85,35,1765,0,0,9,28,135,989,353,68085,82298800,76389600,5909200,7151600,113188500,2059,2059,87,1071,2191,0,736,250500,1191,4.22535211267606,65.7827476038339,33.591967138293,0,30889700,23738100,27.2904932921631,6.31830972227744,20.9721835698856,72.7095067078369,9.4284188034188,26.4155982905983,2.27029914529915,0.93482905982906,3.20512820512821,47.142094017094,0,0,0.240384615384615,0.747863247863248,3.60576923076923,2016,NA
"48","Hebron"," Grafton",582,59.1,550,557,202,34,0,234,0,0,2,13,21,251,30,61875,11992400,10745100,1247200,2210200,21340900,288,288,18,233,637,0,365,324200,896,6.25,55.278310940499,57.2998430141287,0,9348500,7138300,43.8055564666907,10.3566391295587,33.448917337132,56.1944435333093,5.15463917525773,43.127147766323,5.84192439862543,0,5.84192439862543,40.2061855670103,0,0,0.343642611683849,2.23367697594502,3.60824742268041,2016,NA
